title,number,state,created_at,user,commits,additions,deletions,changed_files,closed_at,body
"Add support to MemoryStore to clear specific namespaces.",40618,open,2020-11-14T08:08:50Z,DougEdey,1,30,2,3,Null,"### Summary    I was implementing some namespace based caching and found that the `ActiveSupport::Cache::MemoryStore` that I used in tests behaved differently to the `RedisCacheStore` (used in development/production) when calling `.clear`  while adding and deleting based on namespace behaves the same  the Memory store just clears everything.    I originally went with a loop over the raw `@data.keys`  because `delete_matched` is instrumented  but then I realized that     (1) `RedisCacheStore.clear(namespace:)` uses `delete_matched`  (2) We probably want to expose this instrumentation if developers want it.    ### Other Information    This was fixed in `RedisCacheStore` a while ago: https://github.com/rails/rails/pull/32573    "
"CI against erubi 1.10.0",40617,closed,2020-11-14T05:42:28Z,amatsuda,1,1,1,1,2020-11-16T16:15:37Z,"A new version of Erubi was released: https://rubygems.org/gems/erubi    This release includes [an internal refactoring](https://github.com/jeremyevans/erubi/commit/4dc81c21) that once introduced an incompatibility for Action View that was [two months later reverted back](https://github.com/jeremyevans/erubi/commit/16ca175) because the maintainer luckily discovered the breakage while pareparing for the release.    I know it's only a week since we [upgraded everything](fc73becc3cbfa574af9d7f8359d060728375d186)  but now that the gem has been released  and it'd be bundled on Rails 6.1 users' apps  we'd better CI against this version.    Thank you @jeremyevans for letting me know about this release."
"use listen v3.3.1",40616,closed,2020-11-13T23:26:02Z,ColinDKelley,1,3,3,2,2020-11-16T17:48:19Z,"### Summary    We discovered a race condition in `listen` v3.3.0 where if code ever calls `listener.stop` before `listener.start`  an exception is raised. This is fixed in `listen` [v3.3.1](https://github.com/guard/listen/releases/tag/v3.3.1).  - Bumps `listen` gem to v3.3.1.  "
"Fix preventing_writes for granular swapping",40615,closed,2020-11-13T21:30:42Z,eileencodes,1,90,14,4,2020-11-17T18:24:54Z,"When we implemented granular connection swapping we treated  `prevent_writes` similarly to `role` and `shard`. However  it's a little  different. `prevent_writes` is a feature of a conneciton whereas `role`  and `shared` are used to lookup a connection. A writing connection that  wants to prevent writes doesn't get stored in the pool as such   `prevent_writes` is added as a way to change behavior of a connection.    Because of this when `preventing_writes?` calls  `ActiveRecord::Base.current_preventing_writes` the lookup is on the  wrong class if we're using granular swapping. Instead we need to lookup  the `prevent_writes` from the class that called `connected_to` rather  than `ActiveRecord::Base`. To do that I've done the following:    1) Added access to the `connection_specification_name` as `owner_name`  on the pool so the connection can access it.  2) Call `safe_constantize` on the `owner_name` since the  `connected_to_stack` stores the class as a class and not a string.  3) Now we can call `safe_constantize` on the klass that we got out of  the pool to be able to look up the correct `prevent_writes` from the  stack.    I benchmarked this and the two versions were pretty close  although this  is a little bit slower.    I tried a few other ways of fixing this. I first tried adding  `prevent_writes` to the connection in `retrieve_connection` based on the  `current_preventing_writes` but then that behavior only worked correctly  for ActiveRecord connections. If we already had a connection and  `retrieve_connection` isn't called then the tests testing that behavior  would fail. This was the best way to not introduce confusing differences  between global and granular connections.    Fixes #40559    cc/ @seejohnrun "
"Add support for sqlcmd instead of sqsh on sql server",40612,closed,2020-11-12T18:04:23Z,tahsin352,1,5,5,2,2020-11-12T18:37:45Z,"### Summary  Fixes for #40611 to suggest that Rails move from sqsh to sqlcmd  which Microsoft offers on Windows  Mac  and Linux.  <!-- Provide a general description of the code changes in your pull  request... were there any bugs you had fixed? If so  mention them. If  these bugs have open GitHub issues  be sure to tag them here as well   to keep the conversation linked together. -->    <!-- If there's anything else that's important and relevant to your pull  request  mention that information here. This could include  benchmarks  or other information.    If you are updating any of the CHANGELOG files or are asked to update the  CHANGELOG files by reviewers  please add the CHANGELOG entry at the top of the file.    Finally  if your pull request affects documentation or any non-code  changes  guidelines for those changes are [available  here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)    Thanks for contributing to Rails! -->  "
"Identical type for primary key and reference on sqlite3",40610,open,2020-11-12T07:18:06Z,tahsin352,1,1,1,1,Null,"### Summary  While working on issue https://github.com/rails/rails/issues/40583  I found that after this https://github.com/rails/rails/commit/b92ae610699f991e4616409815fa1e7f134dacc5 change  we need to use identical type for primary_key and reference on sqlite3. It was done for mysql2 and postgresql on https://github.com/rails/rails/commit/14db455156cf822f1af738f24528200ae19efc1c; This PR updates reference type to `:bigint` for sqlite3.  <!-- Provide a general description of the code changes in your pull  request... were there any bugs you had fixed? If so  mention them. If  these bugs have open GitHub issues  be sure to tag them here as well   to keep the conversation linked together. -->      <!-- If there's anything else that's important and relevant to your pull  request  mention that information here. This could include  benchmarks  or other information.    If you are updating any of the CHANGELOG files or are asked to update the  CHANGELOG files by reviewers  please add the CHANGELOG entry at the top of the file.    Finally  if your pull request affects documentation or any non-code  changes  guidelines for those changes are [available  here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)    Thanks for contributing to Rails! -->  "
"Fix QueryCache concurrent issue",40609,open,2020-11-12T05:54:21Z,kvokka,1,1,1,1,Null,"<del>This should fix it. By the way  Mutex_m is a stdlib goodie  so i did not bring any extra dependency.</del>    Re-use common lock  running the patch as a canary in production (since idk how to properly reproduce it locally). Will upd later    Close #40608"
"Fix boolean casting for False",40606,closed,2020-11-11T22:39:11Z,ionut998,1,4,0,2,2020-11-11T22:45:05Z,"### Summary  Include `False` in the list of rules for coercion of user input.  Casting the string `false` or `FALSE` to boolean results in a `false` value but casting `False` to boolean results in `true`    Before:  ```  ActiveRecord::Type::Boolean.new.cast(\"False\")  => true  ```    After  ```  ActiveRecord::Type::Boolean.new.cast(\"False\")  => false  ```"
"Link to API docs in AS Core Extensions guide [ci-skip]",40605,closed,2020-11-11T22:16:35Z,jonathanhefner,1,599,208,1,2020-11-13T03:31:22Z,"This links the first mention of each method to its API documentation  similar to a Wikipedia article.  Some subsequent mentions are also linked  when it suits the surrounding text.    This also modifies the text in a few places to ensure that methods are explicitly mentioned (and linked) before they appear in code examples.    ---    One of these links depends on #40604.  "
"Document Regexp#multiline? [ci-skip]",40604,closed,2020-11-11T22:16:20Z,jonathanhefner,1,8,1,1,2020-11-12T00:09:23Z,"`Regexp#multiline?` has been publicized in the Active Support Core Extensions guide [for a while now](https://guides.rubyonrails.org/v4.0/active_support_core_extensions.html#multiline-questionmark).  This commit adds matching API docs."
